S.No,Question,Category,Answers
1,What are the programs offered for working professionals?,Courses,"Thank you for your interest in RR programs! RR offers both long-term and short-term programs in emerging technologies such as Data Science, Cybersecurity, Artificial Intelligence, and Cloud Architecture and Security to meet the futurist demands of these industries. The long-term programs offered are;
1. PGD/MS in Business Analytics
2. PGD/ M. Tech/M.S in Artificial Intelligence
3. PGD/M. Tech/MS in Cybersecurity, and,
4. M. Sc. in Cloud Architecture and Security.
We also have 20+ short-term programs customized to add value to the participants."
2,What is the duration of each program?,Courses,"The duration of postgraduate degrees will be two years, and PG Diploma will be of one year. The duration of short-term programs depends on the programs ranges from 5 days to 16 days. "
3,What are the prerequisites and prior knowledge required to join RR programs?,Courses,"Working professionals with a minimum of 50% in their undergraduate degree and two years of relevant work experience in the industry are eligible for long-term programs. As for short-term programs, you should have a good understanding and expertise in the domain. "
4,What is the maximum number of participants for each program?,Courses,"For postgraduate degree programs, the maximum number of participants can be 30.  In the case of short-term programs, we can accommodate only 15-20 participants in each batch."
5,What are the delivery modes for each program?,Courses,RR offers weekend classroom training for long-term programs. Both blended and online mode of delivery is available for short-term programs depending on the program you choose.
6,Do I have the option of completing the program online?,Courses,"No, you don’t have the option to complete the programs online, except for the specifically mentioned short-term programs."
7,How do I register/apply for the program I am interested in?,Admission,"Happy to know about your decision to apply to our program.  Click on the ‘Apply Now’ button on our website, https://RR.R.edu.in. You’ll be directed to a page where you can choose your preferred program and the details. Use the pop-up form to fill in your details and register. Once you’ve registered with us, you will get a confirmation mail regarding your registration. Soon after submitting the registration form, one of our coordinators will contact you and help you through the application process."
8,Do you provide learning materials to the participants?,Courses,"Yes, once you’ve joined the program, you will get the login details to access the Learning Management System (LMS). LMS is a one-stop destination for all the learning materials such as pre-readings, assignments, in-class resources, recorded videos of classroom sessions, additional reading materials, webinars, and other learning resources added as per the requirements. "
9,What kind of infrastructure facilities are provided by RR?,Courses,"RR offers the most modern facilities to the participants, such as Security Operations Centre, Cyber Range, Simulations, Natural Language Technology Lab, Vision Technology Lab, Deep Learning Accelerator, and Humanoid Simulator to support experiential learning. "
10,Am I eligible for any discounts?,Admission,"Sure, but conditions apply! We provide discounts based on our promotional offers or meet specific eligibility criteria to avail scholarships. If you have queries on eligibility, please talk to our coordinators. "
11,What are the tools used for experiential learning in your programs?,Courses,Access to fifty plus open source and proprietary tools are provided that are helpful in hands-on learning apart from the access to live capstone projects and case scenarios.
12,Is it possible to watch a classroom session before joining a program?,Admission,"Yes, you can visit a classroom session to understand the teaching-learning process involved in our corporate programs. The coordinator assigned to you will assist you in visiting our University. "
13,What kind of outcomes can I expect after the completion of my program?,Courses,"The program outcomes differ from program to program. Upon completing each program, you will become a pro in relevant tools, industry skills, and industry best practices. The program enables you to achieve your professional goals. "
14,What is the admission cycle?,Admission,"You may apply to our programs throughout the year. For the master’s and long term programs, we have two admission cycles per year; September and February.  We will not admit more than 30 students in a batch. Once we accept the said number of students, we will close the admission for that batch. Once the admissions are closed for a particular batch, you can apply only for the next batch. Hence, completing the application process as early as possible is highly recommended."
15,Is it possible to pay my fees in instalments?,Admission,"We prefer one-time fee payment using convenient payment modes such as online bank transfer, credit/debit card transfer, cheque, Paytm transfer, etc. The website has integrated Finzy, our payment partner and other banks. You can reach out to any of our loan partners for an educational loan, available at a lower interest rate. "
16,Do you offer placement assistance?,Courses,"Yes, we provide placement assistance through the lateral hiring process. The majority of the placements are through peer, alumni, and mentor referrals. Placement assistance includes career guidance, resume-building support, and mock interviews. Each participant will receive staunch support from the industry mentors, who also direct you through various placement opportunities within the industry. Above all, we are partnered with leading MNCs that offer placement opportunities to our participants. "
17,Why should I choose MS in Business Analytics program at RR?,Business Analytics,"MS in business analytics program enables the participants to showcase a competitive edge over other similar programs. The MS in Business Analytics is uniquely designed with a technical, quantitative, and practical approach to develop business analytical skills in the participants to make strategical business decisions."
18,What is the scope of business analytics?,Business Analytics,"The ever-expanding business analytics domain offers a lot of opportunities to learners. Companies/businesses of all sizes need skilled business analysts or data scientists to make profitable business decisions. There is a vast scope for career transition such as Data Scientist, Data Analyst, Business Analyst, Market Research Analyst, Big Data Analyst, Business Intelligence Expert, Financial Analyst and so on."
19,What is the academic calendar schedule for the MS in Business Analytics program?,Business Analytics,"According to the academic calendar, admissions to MS in Business Analytics will be in two batches, Batch 1 starts in September, and Batch 2 starts in February. However, you can apply for the program or book your seats at any time. Admissions will happen throughout the year, but you have to confirm the batch you would like to join.  I hope it helped you in your decision-making!"
20,What are the prerequisites to join MS in Business Analytics?,Business Analytics,Working professionals with a minimum of 50% marks in their undergraduate degree of any discipline and two years of work experience in the industry are eligible for admission.
21,Is work experience mandatory for MS in Business Analytics?,Business Analytics,"Yes, it is mandatory to have at least two years of work experience in your industry. As for short-term certification programs, you should have a good understanding and experience in the respective industry."
22,How can I learn more about the MS in Business Analytics program of RR?,Business Analytics,"Don’t worry! We assign a coordinator for the participants. If you have additional queries about the program, you can feel free to contact your coordinator. They will also guide you on whether the program is beneficial to meet your career aspirations or not."
23,What is the duration of the MS in Business Analytics program?,Business Analytics,The duration of MS is two years and PGD is one year
24,Is the MS in Business Analytics program recognized by relevant approving authorities?,Business Analytics,"Yes, the MS in Business Analytics is a UGC-approved program."
25,How do you promote experiential learning in MS in Business Analytics?,Business Analytics,"We have Simulations, Natural Language Technology Lab, Vision Technology Lab, and Deep Learning Accelerator to promote experiential learning in business analytics programs."
